"united kingdom, military",191
"united kingdom, music",4292
"united kingdom, education management",12605
"united kingdom, alternative dispute resolution",193
"united kingdom, insurance",4090
"united kingdom, hospitality",9521
"united kingdom, medical practice",2296
"united kingdom, chemicals",1704
"united kingdom, management consulting",13883
"united kingdom, computer software",11385
"united kingdom, facilities services",4433
"united kingdom, printing",3407
"united kingdom, human resources",3625
"united kingdom, hospital & health care",9161
"united kingdom, retail",11121
"united kingdom, media production",6851
"united kingdom, health, wellness and fitness",10003
"united kingdom, investment banking",567
"united kingdom, staffing and recruiting",11580
"united kingdom, restaurants",3088
"united kingdom, civil engineering",3610
"united kingdom, construction",25322
"united kingdom, internet",8931
"united kingdom, professional training & coaching",6189
"united kingdom, consumer services",3317
"united kingdom, law enforcement",326
"united kingdom, information technology and services",26876
"united kingdom, e-learning",1427
"united kingdom, events services",6534
"united kingdom, defense & space",708
"united kingdom, graphic design",2718
"united kingdom, religious institutions",857
"united kingdom, warehousing",547
"united kingdom, maritime",1947
"united kingdom, sports",5419
"united kingdom, marketing and advertising",19259
"united kingdom, higher education",2086
"united kingdom, furniture",2436
"united kingdom, aviation & aerospace",1217
"united kingdom, transportation/trucking/railroad",4540
"united kingdom, mechanical or industrial engineering",7419
"united kingdom, farming",1012
"united kingdom, automotive",7894
"united kingdom, government administration",1342
"united kingdom, electrical/electronic manufacturing",6083
"united kingdom, real estate",13141
"united kingdom, design",11057
"united kingdom, public relations and communications",3596
"united kingdom, oil & energy",5861
"united kingdom, arts and crafts",2326
"united kingdom, logistics and supply chain",2388
"united kingdom, financial services",15598
"united kingdom, renewables & environment",3889
"united kingdom, online media",1595
"united kingdom, non-profit organization management",6263
"united kingdom, utilities",1975
"united kingdom, food & beverages",6460
"united kingdom, photography",2970
"united kingdom, architecture & planning",5712
"united kingdom, environmental services",4065
"united kingdom, food production",3189
"united kingdom, import and export",1285
"united kingdom, biotechnology",1464
"united kingdom, philanthropy",450
"united kingdom, package/freight delivery",228
"united kingdom, writing and editing",1744
"united kingdom, paper & forest products",331
"united kingdom, machinery",2475
"united kingdom, mining & metals",1304
"united kingdom, publishing",4079
"united kingdom, wine and spirits",1006
"united kingdom, leisure, travel & tourism",5788
"united kingdom, apparel & fashion",4009
"united kingdom, telecommunications",5697
"united kingdom, executive office",1134
"united kingdom, motion pictures and film",1854
"united kingdom, information services",1482
"united kingdom, accounting",9281
"united kingdom, primary/secondary education",2436
"united kingdom, investment management",2221
"united kingdom, cosmetics",1476
"united kingdom, wholesale",3389
"united kingdom, venture capital & private equity",1099
"united kingdom, civic & social organization",2009
"united kingdom, legal services",4492
"united kingdom, museums and institutions",825
"united kingdom, building materials",2834
"united kingdom, entertainment",5818
"united kingdom, sporting goods",1169
"united kingdom, fine art",1306
"united kingdom, luxury goods & jewelry",1104
"united kingdom, capital markets",541
"united kingdom, outsourcing/offshoring",837
"united kingdom, airlines/aviation",1864
"united kingdom, fund-raising",722
"united kingdom, nonprofit organization management",296
"united kingdom, research",2515
"united kingdom, market research",1278
"united kingdom, security and investigations",3578
"united kingdom, international affairs",434
"united kingdom, consumer electronics",1148
"united kingdom, computer games",1106
"united kingdom, pharmaceuticals",2658
"united kingdom, textiles",1800
"united kingdom, law practice",4807
"united kingdom, plastics",986
"united kingdom, public safety",693
"united kingdom, computer & network security",1057
"united kingdom, computer networking",915
"united kingdom, political organization",283
"united kingdom, mental health care",1540
"united kingdom, business supplies and equipment",4068
"united kingdom, packaging and containers",1189
"united kingdom, individual & family services",1543
"united kingdom, international trade and development",1442
"united kingdom, medical devices",1762
"united kingdom, consumer goods",3261
"united kingdom, broadcast media",2134
"united kingdom, computer hardware",796
"united kingdom, program development",305
"united kingdom, libraries",110
"united kingdom, veterinary",1337
"united kingdom, supermarkets",93
"united kingdom, animation",527
"united kingdom, industrial automation",960
"united kingdom, banking",1004
"united kingdom, wireless",252
"united kingdom, recreational facilities and services",750
"united kingdom, dairy",225
"united kingdom, nanotechnology",138
"united kingdom, commercial real estate",1196
"united kingdom, gambling & casinos",477
"united kingdom, glass, ceramics & concrete",402
"united kingdom, performing arts",1926
"united kingdom, think tanks",338
"united kingdom, translation and localization",795
"united kingdom, shipbuilding",207
"united kingdom, railroad manufacture",170
"united kingdom, judiciary",38
"united kingdom, public policy",477
"united kingdom, legislative office",11
"united kingdom, fishery",177
"united kingdom, semiconductors",294
"united kingdom, government relations",320
"united kingdom, ranching",33
"united kingdom, alternative medicine",405
"united kingdom, newspapers",487
"united kingdom, tobacco",59
"united states, military",1986
"united states, music",16810
"united states, education management",43920
"united states, alternative dispute resolution",674
"united states, insurance",35487
"united states, hospitality",27498
"united states, medical practice",29473
"united states, chemicals",7486
"united states, management consulting",40165
"united states, computer software",58671
"united states, facilities services",14116
"united states, printing",12312
"united states, human resources",12058
"united states, hospital & health care",77307
"united states, retail",43413
"united states, media production",16904
"united states, health, wellness and fitness",57433
"united states, investment banking",3060
"united states, staffing and recruiting",21600
"united states, restaurants",19645
"united states, civil engineering",11901
"united states, construction",113767
"united states, internet",38087
"united states, professional training & coaching",19028
"united states, consumer services",32726
"united states, law enforcement",6739
"united states, information technology and services",98795
"united states, e-learning",7441
"united states, events services",17572
"united states, defense & space",5520
"united states, graphic design",12696
"united states, religious institutions",21419
"united states, warehousing",4090
"united states, maritime",4438
"united states, sports",18311
"united states, marketing and advertising",96293
"united states, higher education",16632
"united states, furniture",8224
"united states, aviation & aerospace",7265
"united states, transportation/trucking/railroad",24831
"united states, mechanical or industrial engineering",16577
"united states, farming",7939
"united states, automotive",39140
"united states, government administration",11760
"united states, electrical/electronic manufacturing",21392
"united states, real estate",85212
"united states, design",31831
"united states, public relations and communications",12930
"united states, oil & energy",23048
"united states, arts and crafts",7765
"united states, logistics and supply chain",8421
"united states, financial services",61879
"united states, renewables & environment",11883
"united states, online media",6399
"united states, non-profit organization management",45398
"united states, utilities",6302
"united states, food & beverages",32521
"united states, photography",14082
"united states, architecture & planning",22051
"united states, environmental services",17971
"united states, food production",11826
"united states, import and export",3438
"united states, biotechnology",11038
"united states, philanthropy",5663
"united states, package/freight delivery",1118
"united states, writing and editing",9492
"united states, paper & forest products",1765
"united states, machinery",16412
"united states, mining & metals",5334
"united states, publishing",12582
"united states, wine and spirits",5328
"united states, leisure, travel & tourism",10552
"united states, apparel & fashion",18566
"united states, telecommunications",22109
"united states, executive office",5809
"united states, motion pictures and film",6218
"united states, information services",4941
"united states, accounting",29915
"united states, primary/secondary education",16519
"united states, investment management",10963
"united states, cosmetics",7237
"united states, wholesale",14321
"united states, venture capital & private equity",6483
"united states, civic & social organization",9651
"united states, legal services",19680
"united states, museums and institutions",4420
"united states, building materials",12563
"united states, entertainment",36847
"united states, sporting goods",5931
"united states, fine art",6504
"united states, luxury goods & jewelry",3840
"united states, capital markets",1394
"united states, outsourcing/offshoring",2097
"united states, airlines/aviation",7259
"united states, fund-raising",3434
"united states, nonprofit organization management",1667
"united states, research",9483
"united states, market research",4334
"united states, security and investigations",9232
"united states, international affairs",2235
"united states, consumer electronics",6741
"united states, computer games",3619
"united states, pharmaceuticals",10775
"united states, textiles",4055
"united states, law practice",37903
"united states, plastics",4406
"united states, public safety",5769
"united states, computer & network security",6325
"united states, computer networking",4885
"united states, political organization",2650
"united states, mental health care",14935
"united states, business supplies and equipment",8220
"united states, packaging and containers",4935
"united states, individual & family services",13912
"united states, international trade and development",4220
"united states, medical devices",13832
"united states, consumer goods",20779
"united states, broadcast media",8091
"united states, computer hardware",4228
"united states, program development",2493
"united states, libraries",3340
"united states, veterinary",8837
"united states, supermarkets",828
"united states, animation",1451
"united states, industrial automation",6576
"united states, banking",10718
"united states, wireless",2881
"united states, recreational facilities and services",6524
"united states, dairy",1129
"united states, nanotechnology",751
"united states, commercial real estate",6549
"united states, gambling & casinos",1236
"united states, glass, ceramics & concrete",1529
"united states, performing arts",6978
"united states, think tanks",2009
"united states, translation and localization",1771
"united states, shipbuilding",591
"united states, railroad manufacture",507
"united states, judiciary",367
"united states, public policy",2593
"united states, legislative office",165
"united states, fishery",756
"united states, semiconductors",3070
"united states, government relations",4367
"united states, ranching",910
"united states, alternative medicine",3127
"united states, newspapers",3605
"united states, tobacco",463
"spain, military",53
"spain, music",904
"spain, education management",1815
"spain, alternative dispute resolution",63
"spain, insurance",1168
"spain, hospitality",2401
"spain, medical practice",445
"spain, chemicals",1057
"spain, management consulting",5032
"spain, computer software",3497
"spain, facilities services",838
"spain, printing",583
"spain, human resources",1606
"spain, hospital & health care",2170
"spain, retail",1544
"spain, media production",1206
"spain, health, wellness and fitness",2999
"spain, investment banking",153
"spain, staffing and recruiting",324
"spain, restaurants",562
"spain, civil engineering",1152
"spain, construction",3954
"spain, internet",5369
"spain, professional training & coaching",1931
"spain, consumer services",676
"spain, law enforcement",214
"spain, information technology and services",9163
"spain, e-learning",705
"spain, events services",1687
"spain, defense & space",168
"spain, graphic design",1239
"spain, religious institutions",57
"spain, warehousing",148
"spain, maritime",529
"spain, sports",1583
"spain, marketing and advertising",7742
"spain, higher education",1288
"spain, furniture",876
"spain, aviation & aerospace",284
"spain, transportation/trucking/railroad",1021
"spain, mechanical or industrial engineering",3059
"spain, farming",639
"spain, automotive",1686
"spain, government administration",556
"spain, electrical/electronic manufacturing",1781
"spain, real estate",2749
"spain, design",2145
"spain, public relations and communications",624
"spain, oil & energy",1007
"spain, arts and crafts",307
"spain, logistics and supply chain",906
"spain, financial services",1775
"spain, renewables & environment",2007
"spain, online media",371
"spain, non-profit organization management",1158
"spain, utilities",429
"spain, food & beverages",2693
"spain, photography",626
"spain, architecture & planning",2409
"spain, environmental services",1223
"spain, food production",819
"spain, import and export",524
"spain, biotechnology",1163
"spain, philanthropy",101
"spain, package/freight delivery",65
"spain, writing and editing",453
"spain, paper & forest products",185
"spain, machinery",1535
"spain, mining & metals",811
"spain, publishing",775
"spain, wine and spirits",487
"spain, leisure, travel & tourism",2378
"spain, apparel & fashion",1329
"spain, telecommunications",2504
"spain, executive office",321
"spain, motion pictures and film",739
"spain, information services",392
"spain, accounting",1246
"spain, primary/secondary education",999
"spain, investment management",391
"spain, cosmetics",548
"spain, wholesale",888
"spain, venture capital & private equity",400
"spain, civic & social organization",1163
"spain, legal services",2290
"spain, museums and institutions",285
"spain, building materials",860
"spain, entertainment",1574
"spain, sporting goods",323
"spain, fine art",336
"spain, luxury goods & jewelry",273
"spain, capital markets",72
"spain, outsourcing/offshoring",338
"spain, airlines/aviation",643
"spain, fund-raising",54
"spain, nonprofit organization management",25
"spain, research",1220
"spain, market research",327
"spain, security and investigations",614
"spain, international affairs",174
"spain, consumer electronics",539
"spain, computer games",525
"spain, pharmaceuticals",830
"spain, textiles",642
"spain, law practice",1645
"spain, plastics",342
"spain, public safety",74
"spain, computer & network security",412
"spain, computer networking",154
"spain, political organization",76
"spain, mental health care",460
"spain, business supplies and equipment",417
"spain, packaging and containers",354
"spain, individual & family services",813
"spain, international trade and development",735
"spain, medical devices",475
"spain, consumer goods",1091
"spain, broadcast media",827
"spain, computer hardware",415
"spain, program development",1098
"spain, libraries",78
"spain, veterinary",205
"spain, supermarkets",73
"spain, animation",166
"spain, industrial automation",567
"spain, banking",473
"spain, wireless",165
"spain, recreational facilities and services",219
"spain, dairy",53
"spain, nanotechnology",63
"spain, commercial real estate",231
"spain, gambling & casinos",114
"spain, glass, ceramics & concrete",166
"spain, performing arts",298
"spain, think tanks",256
"spain, translation and localization",483
"spain, shipbuilding",133
"spain, railroad manufacture",91
"spain, judiciary",240
"spain, public policy",105
"spain, legislative office",14
"spain, fishery",54
"spain, semiconductors",164
"spain, government relations",117
"spain, ranching",81
"spain, alternative medicine",107
"spain, newspapers",298
"spain, tobacco",23
"south africa, military",5
"south africa, music",82
"south africa, education management",529
"south africa, alternative dispute resolution",11
"south africa, insurance",266
"south africa, hospitality",494
"south africa, medical practice",67
"south africa, chemicals",110
"south africa, management consulting",950
"south africa, computer software",571
"south africa, facilities services",119
"south africa, printing",160
"south africa, human resources",622
"south africa, hospital & health care",168
"south africa, retail",399
"south africa, media production",305
"south africa, health, wellness and fitness",419
"south africa, investment banking",34
"south africa, staffing and recruiting",583
"south africa, restaurants",53
"south africa, civil engineering",230
"south africa, construction",642
"south africa, internet",449
"south africa, professional training & coaching",369
"south africa, consumer services",189
"south africa, law enforcement",7
"south africa, information technology and services",2971
"south africa, e-learning",129
"south africa, events services",442
"south africa, defense & space",31
"south africa, graphic design",157
"south africa, religious institutions",47
"south africa, warehousing",22
"south africa, maritime",50
"south africa, sports",143
"south africa, marketing and advertising",1885
"south africa, higher education",114
"south africa, furniture",88
"south africa, aviation & aerospace",60
"south africa, transportation/trucking/railroad",191
"south africa, mechanical or industrial engineering",406
"south africa, farming",78
"south africa, automotive",337
"south africa, government administration",45
"south africa, electrical/electronic manufacturing",268
"south africa, real estate",505
"south africa, design",488
"south africa, public relations and communications",157
"south africa, oil & energy",192
"south africa, arts and crafts",46
"south africa, logistics and supply chain",224
"south africa, financial services",1043
"south africa, renewables & environment",232
"south africa, online media",122
"south africa, non-profit organization management",376
"south africa, utilities",50
"south africa, food & beverages",236
"south africa, photography",117
"south africa, architecture & planning",268
"south africa, environmental services",260
"south africa, food production",107
"south africa, import and export",121
"south africa, biotechnology",39
"south africa, philanthropy",31
"south africa, package/freight delivery",8
"south africa, writing and editing",50
"south africa, paper & forest products",26
"south africa, machinery",144
"south africa, mining & metals",489
"south africa, publishing",170
"south africa, wine and spirits",61
"south africa, leisure, travel & tourism",464
"south africa, apparel & fashion",139
"south africa, telecommunications",424
"south africa, executive office",62
"south africa, motion pictures and film",73
"south africa, information services",107
"south africa, accounting",423
"south africa, primary/secondary education",25
"south africa, investment management",219
"south africa, cosmetics",64
"south africa, wholesale",123
"south africa, venture capital & private equity",68
"south africa, civic & social organization",70
"south africa, legal services",268
"south africa, museums and institutions",10
"south africa, building materials",133
"south africa, entertainment",214
"south africa, sporting goods",41
"south africa, fine art",25
"south africa, luxury goods & jewelry",50
"south africa, capital markets",26
"south africa, outsourcing/offshoring",56
"south africa, airlines/aviation",85
"south africa, fund-raising",29
"south africa, nonprofit organization management",0
"south africa, research",156
"south africa, market research",67
"south africa, security and investigations",257
"south africa, international affairs",9
"south africa, consumer electronics",81
"south africa, computer games",16
"south africa, pharmaceuticals",68
"south africa, textiles",41
"south africa, law practice",262
"south africa, plastics",42
"south africa, public safety",25
"south africa, computer & network security",81
"south africa, computer networking",41
"south africa, political organization",6
"south africa, mental health care",34
"south africa, business supplies and equipment",218
"south africa, packaging and containers",57
"south africa, individual & family services",39
"south africa, international trade and development",85
"south africa, medical devices",76
"south africa, consumer goods",121
"south africa, broadcast media",130
"south africa, computer hardware",58
"south africa, program development",35
"south africa, libraries",2
"south africa, veterinary",15
"south africa, supermarkets",0
"south africa, animation",30
"south africa, industrial automation",96
"south africa, banking",46
"south africa, wireless",15
"south africa, recreational facilities and services",30
"south africa, dairy",6
"south africa, nanotechnology",2
"south africa, commercial real estate",62
"south africa, gambling & casinos",24
"south africa, glass, ceramics & concrete",17
"south africa, performing arts",20
"south africa, think tanks",39
"south africa, translation and localization",27
"south africa, shipbuilding",7
"south africa, railroad manufacture",4
"south africa, judiciary",2
"south africa, public policy",18
"south africa, legislative office",7
"south africa, fishery",4
"south africa, semiconductors",3
"south africa, government relations",17
"south africa, ranching",3
