countryindyear,count
"peru, program development, 2015",2
"canada, real estate, 1915",1
"croatia, research, 1992",1
"switzerland, arts and crafts, 2006",2
"saudi arabia, food & beverages, 1997",1
"spain, non-profit organization management, 1903",1
"argentina, newspapers, 2002",1
"norway, sports, 1909",2
"denmark, security and investigations, 1975",1
"venezuela, marketing and advertising, 1990",1
"greece, leisure, travel & tourism, 1995",3
"united kingdom, religious institutions, 1918",1
"australia, education management, 1927",2
"costa rica, management consulting, 1979",1
"ukraine, non-profit organization management, 2017",1
"new zealand, sporting goods, 1996",1
"venezuela, wholesale, 1975",1
"australia, renewables & environment, 1990",1
"israel, law practice, 1990",2
"portugal, entertainment, 1996",1
"russia, broadcast media, 1989",2
"turkey, food production, 2011",9
"uganda, investment management, 2016",1
"fiji, think tanks, 2008",1
"india, gambling & casinos, 2017",2
"trinidad and tobago, renewables & environment, 2006",1
"united kingdom, dairy, 1943",1
"germany, sporting goods, 1991",2
"netherlands, e-learning, 2001",4
"canada, maritime, 1956",1
"hong kong, computer games, 2001",1
"belgium, industrial automation, 1964",1
"india, libraries, 1995",1
"cambodia, philanthropy, 2010",1
"united kingdom, oil & energy, 1968",3
"united kingdom, printing, 1896",1
"luxembourg, airlines/aviation, 1999",1
"malta, staffing and recruiting, 2007",2
"lebanon, oil & energy, 2015",2
"nicaragua, investment management, 2014",1
"singapore, nanotechnology, 2012",1
"united states, packaging and containers, 1900",1
"fiji, retail, 2010",2
"denmark, computer & network security, 1996",1
"united states, packaging and containers, 1885",2
"dominican republic, leisure, travel & tourism, 2001",1
"hungary, food & beverages, 2002",2
"australia, industrial automation, 1964",2
"kenya, oil & energy, 1993",1
"azerbaijan, pharmaceuticals, 1994",1
"belgium, apparel & fashion, 1994",1
"netherlands, medical practice, 2014",16
"czechia, think tanks, 2010",4
"morocco, telecommunications, 2011",2
"sweden, medical devices, 1974",1
"new zealand, restaurants, 2017",2
"switzerland, maritime, 1975",1
"india, animation, 1999",1
"tunisia, health, wellness and fitness, 2015",1
"dominican republic, nanotechnology, 2011",1
"india, apparel & fashion, 1959",1
"japan, mechanical or industrial engineering, 2011",2
"spain, textiles, 1921",1
"kenya, consumer goods, 1996",1
"suriname, civil engineering, 1960",1
"egypt, maritime, 1982",2
"switzerland, education management, 1882",1
"ireland, law practice, 1968",1
"italy, recreational facilities and services, 1996",1
"malaysia, legal services, 1994",1
"haiti, business supplies and equipment, 2011",1
"saudi arabia, building materials, 2016",1
"japan, construction, 2015",3
"canada, packaging and containers, 2012",6
"greenland, oil & energy, 2010",1
"portugal, professional training & coaching, 1990",3
"germany, music, 1925",1
"mexico, marketing and advertising, 1969",3
"portugal, hospitality, 1911",1
"france, marketing and advertising, 1916",1
"netherlands, maritime, 1990",6
"czechia, media production, 1990",1
"italy, government relations, 2009",2
"palestine, investment management, 2015",1
"spain, higher education, 1964",1
"turkey, printing, 2010",1
"czechia, arts and crafts, 2017",2
"israel, civil engineering, 1997",1
"australia, research, 2002",4
"pakistan, civic & social organization, 1994",1
"serbia, translation and localization, 2003",1
"thailand, media production, 1997",1
"sweden, publishing, 2002",4
"netherlands, civil engineering, 1953",3
"indonesia, human resources, 1989",2
"philippines, building materials, 2011",1
"guatemala, information technology and services, 2001",2
"india, paper & forest products, 2006",1
"spain, e-learning, 1981",2
"switzerland, newspapers, 1955",1
"hungary, arts and crafts, 2002",1
"japan, insurance, 2002",1
"united arab emirates, real estate, 1875",1
"pakistan, health, wellness and fitness, 2029",1
"united arab emirates, environmental services, 1991",1
"mexico, public policy, 2013",4
"united kingdom, media production, 1887",1
"italy, music, 1860",1
"mexico, primary/secondary education, 1905",1
"brazil, judiciary, 1973",2
"kenya, graphic design, 2013",2
"united states, banking, 1835",2
"greece, hospital & health care, 1991",1
"ghana, pharmaceuticals, 1994",1
"france, real estate, 1936",1
"libya, transportation/trucking/railroad, 2008",1
"mongolia, investment banking, 2005",1
"bangladesh, consumer electronics, 1974",1
"spain, civic & social organization, 1957",1
"india, writing and editing, 2005",3
"sweden, cosmetics, 1946",1
"taiwan, human resources, 1996",1
"hong kong, luxury goods & jewelry, 2001",1
"spain, food & beverages, 1922",1
"kyrgyzstan, law practice, 2013",1
"philippines, individual & family services, 2005",1
"south africa, photography, 2001",2
"italy, telecommunications, 1984",5
"united kingdom, hospital & health care, 1932",2
"philippines, government administration, 2013",1
"israel, industrial automation, 1971",1
"spain, mental health care, 1967",1
"colombia, design, 1981",1
"switzerland, textiles, 1980",1
"new zealand, insurance, 1984",2
"singapore, consumer goods, 1926",1
"spain, glass, ceramics & concrete, 1906",1
"turkey, human resources, 1942",1
"slovenia, electrical/electronic manufacturing, 2009",1
"cyprus, insurance, 2013",1
"netherlands, online media, 1989",2
"syria, construction, 1996",2
"sri lanka, marketing and advertising, 1970",1
"paraguay, non-profit organization management, 2007",1
"pakistan, retail, 2010",3
"finland, printing, 1982",1
"united arab emirates, printing, 2005",2
"south africa, non-profit organization management, 1963",3
"new zealand, information technology and services, 1978",1
"brazil, textiles, 1998",14
"netherlands, shipbuilding, 1957",2
"japan, defense & space, 1997",1
"costa rica, human resources, 2011",2
"united kingdom, sports, 1956",1
"belgium, food & beverages, 1999",2
"costa rica, computer software, 2016",3
"canada, utilities, 1961",1
"norway, retail, 1970",2
"brazil, ranching, 2009",4
"taiwan, marketing and advertising, 1997",1
"belgium, fine art, 1992",1
"egypt, research, 1904",1
"nepal, outsourcing/offshoring, 2003",1
"costa rica, accounting, 1971",1
"turkey, broadcast media, 1991",3
"bangladesh, business supplies and equipment, 2016",2
"jersey, online media, 2009",1
"iran, business supplies and equipment, 1999",2
"bosnia and herzegovina, real estate, 2014",2
"south africa, glass, ceramics & concrete, 2014",2
"singapore, performing arts, 2017",1
"guatemala, sports, 2015",1
"paraguay, legal services, 2012",1
"belgium, apparel & fashion, 2018",1
"united states, import and export, 1892",1
"saudi arabia, education management, 2007",5
"malaysia, mining & metals, 1999",1
"spain, fishery, 2001",1
"switzerland, food & beverages, 1897",1
"south africa, public safety, 1965",1
"argentina, real estate, 1976",4
"honduras, logistics and supply chain, 2002",1
"portugal, information services, 1991",1
"netherlands, staffing and recruiting, 1969",3
"tunisia, automotive, 2012",1
"greece, computer networking, 2007",2
"norway, civil engineering, 1996",2
"india, security and investigations, 1993",1
"india, pharmaceuticals, 1920",2
"egypt, logistics and supply chain, 1992",2
"austria, wholesale, 1922",2
"netherlands, animation, 1993",3
"malaysia, capital markets, 1999",1
"pakistan, mining & metals, 1997",1
"canada, health, wellness and fitness, 1902",1
"canada, law practice, 1947",1
"japan, consumer services, 2011",2
"poland, restaurants, 2016",4
"belgium, business supplies and equipment, 2015",2
"japan, renewables & environment, 1999",1
"netherlands, textiles, 1977",2
"china, higher education, 1945",1
"france, sports, 1912",3
"colombia, apparel & fashion, 2017",2
"guatemala, restaurants, 2010",1
"greece, plastics, 2006",1
"sweden, non-profit organization management, 1959",2
"south africa, law practice, 1943",1
"finland, research, 1958",1
"denmark, machinery, 1947",3
"new zealand, accounting, 2002",4
"france, sporting goods, 1985",1
"sweden, food production, 1975",1
"hong kong, staffing and recruiting, 1964",1
"slovenia, photography, 2012",1
