Industry,Country,Total_employee_estimate_mean,Total_employee_estimate_std,mean_size,max_size
,290008,-31803853813875.22,3.829710945394842e+16,0.17802957159802488,19.0
business supplies and equipment,32250,17.61246511627907,392.129624612684,7.758046511627907,13400.0
"leisure, travel & tourism",67569,23.631769006497063,294.6974836366869,9.166600068078557,11269.0
investment management,32989,22.17981751492922,174.1831758643928,9.760950619903603,4991.0
management consulting,194556,15.375131067661753,789.5351412509154,6.835178560414482,104112.0
construction,257921,17.459695022894607,279.03905733747996,8.140988907456158,28206.0
real estate,193486,-47669454311170.85,2.09683294405891e+16,9.762944088978013,40325.0
farming,22827,15.923511630963333,327.8942482511014,8.023261926665791,14319.0
fine art,18830,9.884492830589485,114.87631016380669,4.701593202336697,3307.0
apparel & fashion,64408,26.881319090796175,350.80629669423246,9.420553347410259,8804.0
medical practice,47942,12.51787576655125,150.06509748011635,7.237119853155897,24759.0
marketing and advertising,338162,16.73627728721737,188.66351808038365,5.972051856802361,9391.0
financial services,170880,55.57361306179775,1636.9260035520829,23.232830056179775,109532.0
professional training & coaching,84753,10.746144679244393,146.85674486183078,5.89501256592687,19894.0
computer software,191268,26.212497647280255,731.1886235252505,11.200613798439885,116196.0
mechanical or industrial engineering,80595,27.274495936472487,505.64651020161006,12.524896085365096,31630.0
import and export,24917,8.842717823172935,60.53588087063409,4.755066821848537,4566.0
non-profit organization management,99075,39.71174362856422,393.8912242099035,14.4821801665405,14924.0
legal services,59022,16.948239639456474,148.64880295666117,7.419233506150249,7859.0
machinery,53730,22.17578633910292,347.653435744082,10.838451516843477,24304.0
cosmetics,22097,35.00049780513192,936.89703967377,16.311128207448974,37319.0
luxury goods & jewelry,15775,33.49920760697306,419.345454173502,12.71296354992076,8268.0
government administration,33565,174.2441829286459,1137.2862630200566,91.96707880232385,74357.0
textiles,23699,20.488459428667877,212.04614846442342,9.38727372462973,22985.0
accounting,89203,27.530340907817003,1969.510333619777,11.181484927636962,158363.0
broadcast media,29824,61.74406518240343,589.7685662675606,21.00844957081545,31626.0
telecommunications,78483,79.94798873641426,1823.9286782300126,31.78058942700967,115188.0
food production,40480,37.55837450592885,606.2357918155177,16.498937747035573,27152.0
consumer goods,53244,49.380174291939,1072.1032338753314,20.711122379986477,58819.0
information technology and services,453044,36.45221435445564,1780.9201464247349,15.453574045788047,274047.0
retail,121085,74.12170789115085,1574.0179092809506,25.21057934508816,120753.0
pharmaceuticals,36813,93.72721592915546,1831.0976037571468,39.267921658109906,59588.0
e-learning,28148,15.693370754582919,116.49348359891108,7.305634503339491,4723.0
industrial automation,26795,22.254487777570443,257.8560059128491,10.516924799402874,12217.0
environmental services,52308,22.107497897071195,270.7160259667172,9.631471285463027,14375.0
facilities services,41317,21.488031560858726,488.2761387366763,9.903235956143961,37611.0
hospitality,98040,35.324551203590374,522.9058481907283,12.072409220726234,31146.0
design,120153,9.729062112473263,211.86279486535702,4.797616372458449,48806.0
"health, wellness and fitness",145671,15.708878225590544,234.9062433842914,8.424744801642056,27288.0
staffing and recruiting,74043,32.581243331577596,510.31672370146885,11.705130802371595,14481.0
music,50794,10.366578729771232,138.72878232848825,4.582490057880852,8658.0
veterinary,14860,8.919246298788694,98.00132840845701,4.223351278600269,4220.0
political organization,7176,36.199414715719065,315.28497921907666,10.563266443701226,5072.0
banking,27617,231.41724300249845,2768.1096674594787,99.16989535431075,97357.0
primary/secondary education,31893,37.9781770294422,282.6639636376737,21.635311823911202,13130.0
architecture & planning,77306,14.109098905647686,88.13646977543465,5.976793521848239,4743.0
oil & energy,71566,73.51710309364782,1232.2972499613593,32.60790039963111,60324.0
food & beverages,92537,29.1717259042329,803.6952307746457,12.198731318283498,61040.0
writing and editing,25688,7.922298349423856,148.30397242953407,4.322134848956711,17994.0
furniture,31210,13.989009932713873,107.35918882665649,6.551874399231016,4442.0
international trade and development,28196,21.587707476237764,369.570706971468,9.204000567456378,15907.0
public relations and communications,43605,17.397087489966747,177.6659305516982,5.698039215686275,15560.0
computer hardware,14927,32.60916460105849,450.30635811975736,12.919206806458096,16797.0
hospital & health care,140594,67.10570152353586,896.5449109395893,34.239796861886,67564.0
printing,35875,15.361310104529617,264.9027057839603,6.624613240418118,14761.0
media production,69322,15.273636075127666,225.0585176108024,5.4020657222815265,24515.0
events services,73821,11.101922217255252,72.78621353932337,4.425001015971065,4549.0
internet,172208,21.36894917773855,600.1157135781693,10.146235947226609,93247.0
civic & social organization,34608,21.05151987979658,121.11537275065267,8.74300739713361,9323.0
insurance,70771,60.762543979878764,894.1619095969854,29.690678385214284,44926.0
sports,62615,19.17411163459235,127.28549818792905,6.680443983071149,4243.0
mental health care,27622,22.506444138729996,175.25453321907182,11.23090290348273,21041.0
package/freight delivery,3594,68.42932665553701,1225.748998026416,33.53644963828603,21642.0
law practice,81631,27.446570543053497,262.318846974693,10.945731401060872,16823.0
photography,44478,6.620913710148837,243.3133111858029,4.129412293718243,44148.0
