Year_founded,Country_Only,Industry
1991,australia,law practice
2009,united states,marketing and advertising
2005,united states,logistics and supply chain
2007,china,electrical/electronic manufacturing
1984,canada,mechanical or industrial engineering
1996,united states,alternative medicine
1997,united states,construction
2008,italy,furniture
1995,united states,non-profit organization management
1981,united states,printing
2002,germany,renewables & environment
2008,united states,construction
2006,united states,cosmetics
1983,united states,retail
2017,ireland,management consulting
2009,china,media production
1991,united states,law practice
2009,hungary,electrical/electronic manufacturing
2011,chile,marketing and advertising
2016,united states,oil & energy
2014,united states,e-learning
2012,belgium,information technology and services
1944,united states,apparel & fashion
2007,canada,sports
2017,belgium,import and export
2012,saudi arabia,consumer goods
1987,united states,paper & forest products
2004,united states,"health, wellness and fitness"
2015,united states,supermarkets
2005,iran,marketing and advertising
2017,united arab emirates,international trade and development
2007,united states,computer software
2017,malaysia,environmental services
2012,united states,primary/secondary education
2014,netherlands,internet
1984,united kingdom,renewables & environment
2011,united states,primary/secondary education
1993,united states,philanthropy
2016,united states,internet
2007,united states,hospital & health care
2016,france,wine and spirits
2015,spain,marketing and advertising
2016,canada,computer software
2014,united states,staffing and recruiting
2015,netherlands,writing and editing
2001,france,publishing
2016,south africa,media production
2007,philippines,machinery
1994,united states,medical devices
2002,spain,internet
1974,belgium,hospitality
2008,portugal,consumer services
2016,spain,marketing and advertising
1976,germany,oil & energy
2016,spain,education management
2005,india,chemicals
2008,united states,machinery
2009,united states,banking
2014,netherlands,wholesale
2015,italy,information technology and services
2017,belgium,construction
2012,italy,photography
2008,united kingdom,staffing and recruiting
1989,united states,recreational facilities and services
2005,united states,photography
2001,united states,telecommunications
2009,united states,marketing and advertising
2013,united states,entertainment
1986,united states,food & beverages
2014,united states,entertainment
2008,united states,food & beverages
2017,united states,information technology and services
2016,united states,staffing and recruiting
2009,united states,legal services
1953,united states,civic & social organization
2017,india,hospitality
2017,united states,real estate
2005,united kingdom,environmental services
2017,united kingdom,marketing and advertising
2016,united states,computer software
2016,india,financial services
1968,united states,packaging and containers
1985,united states,construction
2003,netherlands,"leisure, travel & tourism"
1997,united states,construction
2014,spain,"leisure, travel & tourism"
1985,united states,media production
2012,austria,design
2017,united states,sports
2010,united states,transportation/trucking/railroad
2016,germany,financial services
1992,italy,marketing and advertising
1970,china,construction
2004,united states,law practice
2007,australia,staffing and recruiting
1984,spain,information services
2009,united states,apparel & fashion
1998,united states,insurance
2017,argentina,marketing and advertising
2011,canada,marketing and advertising
2010,united states,internet
2012,united states,information technology and services
2005,united states,law practice
2010,united states,"health, wellness and fitness"
2014,austria,events services
2010,china,marketing and advertising
2008,united states,real estate
2010,canada,furniture
1978,canada,building materials
1982,spain,automotive
2015,portugal,design
2005,poland,computer software
2013,canada,food & beverages
2017,united states,retail
1988,canada,design
2016,united states,outsourcing/offshoring
2002,japan,marketing and advertising
1972,italy,business supplies and equipment
1999,united states,wine and spirits
2010,united states,real estate
2011,malaysia,retail
2017,united states,consumer goods
2011,netherlands,arts and crafts
1998,sudan,computer networking
2003,france,animation
2017,united states,financial services
1991,united states,non-profit organization management
2012,canada,financial services
2004,united states,human resources
2009,india,"leisure, travel & tourism"
2006,united states,mental health care
2015,norway,design
1978,united kingdom,automotive
2001,romania,civic & social organization
2006,canada,food & beverages
2010,chile,human resources
2011,netherlands,mechanical or industrial engineering
2016,switzerland,financial services
2014,spain,e-learning
2007,united states,"health, wellness and fitness"
2013,united states,fine art
2004,germany,computer software
2016,slovakia,human resources
2010,brazil,construction
2012,poland,mechanical or industrial engineering
2005,canada,"health, wellness and fitness"
2013,denmark,transportation/trucking/railroad
2000,united states,wholesale
2000,united states,hospital & health care
2001,united kingdom,import and export
2008,romania,events services
2004,united states,hospital & health care
2013,united states,information technology and services
2008,netherlands,computer software
2011,united states,international affairs
2012,united kingdom,publishing
2015,united states,automotive
2017,united states,real estate
2015,australia,real estate
2008,united states,real estate
2013,united kingdom,architecture & planning
2013,india,information technology and services
2011,israel,graphic design
2005,brazil,marketing and advertising
2016,united states,internet
2014,india,information technology and services
1994,united states,building materials
2004,united states,public relations and communications
1982,united states,mechanical or industrial engineering
