latitude,longitude,company,coordinate,inception,industry,id,id_industry,id_country,country
51.059017,13.726853,Yenidze,Point(13.726853 51.059019),1907-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q512953,,http://www.wikidata.org/entity/Q183,
-34.60583,-58.36361,Hilton Buenos Aires,Point(-58.363611 -34.605833),2000-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q513613,,http://www.wikidata.org/entity/Q414,
42.339,-83.069,MotorCity Casino Hotel,Point(-83.069 42.339),,,http://www.wikidata.org/entity/Q520432,,http://www.wikidata.org/entity/Q30,
43.676388,7.331389,Grand-Hôtel du Cap-Ferrat,Point(7.33138889 43.67638889),1908-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q537149,,http://www.wikidata.org/entity/Q142,
55.6396,12.5782,Bella Sky Hotel,Point(12.5782 55.6396),2011-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q545283,,http://www.wikidata.org/entity/Q35,
1.2839,103.8589,Marina Bay Sands,Point(103.8589 1.2839),2010-06-23T00:00:00Z,,http://www.wikidata.org/entity/Q548679,,http://www.wikidata.org/entity/Q334,
25.22576,55.28386,Conrad Dubai,Point(55.28386 25.22576),2013-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q550379,,http://www.wikidata.org/entity/Q878,
36.1165,-115.174,Caesars Palace,Point(-115.174 36.1165),1966-08-05T00:00:00Z,,http://www.wikidata.org/entity/Q569978,,http://www.wikidata.org/entity/Q30,
48.3017,14.29,Hotel Schiff,Point(14.29 48.3017),,,http://www.wikidata.org/entity/Q575785,,http://www.wikidata.org/entity/Q40,
39.085,-94.58,Sheraton Kansas City Hotel at Crown Center,Point(-94.58 39.085),,,http://www.wikidata.org/entity/Q580531,,http://www.wikidata.org/entity/Q30,
46.49715,9.84061,Badrutt's Palace Hotel,Point(9.84061 46.49715),,,http://www.wikidata.org/entity/Q584807,,http://www.wikidata.org/entity/Q39,
36.12639,-5.4455557,Hotel Anglo-Hispano,Point(-5.445555555 36.126388888),,,http://www.wikidata.org/entity/Q585497,,http://www.wikidata.org/entity/Q29,
51.5056,-0.1503,London Hilton on Park Lane,Point(-0.1503 51.50559998),1963-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q608175,,http://www.wikidata.org/entity/Q145,
51.4975,-0.1456,Goring Hotel,Point(-0.1456 51.4975),1910-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q609981,,http://www.wikidata.org/entity/Q145,
48.89,-103.00861,Travelers Hotel,Point(-103.0086111 48.89),,,http://www.wikidata.org/entity/Q611464,,http://www.wikidata.org/entity/Q30,
19.430222,-155.25821,Volcano House,Point(-155.258207 19.430221),1877-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q612612,,http://www.wikidata.org/entity/Q30,
41.08472,1.151389,Hard Rock Entertainment World,Point(1.151389 41.084722),,,http://www.wikidata.org/entity/Q614631,,http://www.wikidata.org/entity/Q29,
45.4368,12.332,Palazzo Coccina Tiepolo Papadopoli,Point(12.332 45.4368),1559-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q615079,,http://www.wikidata.org/entity/Q38,
41.393406,2.163947,Hotel Majestic,Point(2.16394722 41.39340556),1918-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q615575,,http://www.wikidata.org/entity/Q29,
