,Country,Date,SNo,Confirmed,Deaths,Recovered
16248,Chile,12/31/2020,3265990,608973.0,16608.0,577382.0
43477,Laos,12/31/2020,191788,41.0,0.0,40.0
35696,India,12/31/2020,7109745,10266674.0,148738.0,9860280.0
67351,Samoa,12/31/2020,191834,2.0,0.0,2.0
84615,Vanuatu,12/31/2020,191868,1.0,0.0,1.0
55930,Namibia,12/31/2020,191813,23941.0,205.0,20076.0
6370,Bangladesh,12/31/2020,191716,513510.0,7559.0,457459.0
75299,Sudan,12/31/2020,191851,25500.0,1468.0,13524.0
72968,South Africa,12/31/2020,191847,1057161.0,28469.0,879671.0
15794,Chad,12/31/2020,191734,2113.0,104.0,1704.0
74855,Sri Lanka,12/31/2020,191850,43299.0,204.0,35329.0
25200,Estonia,12/31/2020,191753,27990.0,229.0,18326.0
47442,MS Zaandam,12/31/2020,191797,9.0,2.0,7.0
20286,Czech Republic,12/31/2020,191742,718661.0,11580.0,592581.0
61002,Panama,12/31/2020,191822,246790.0,4022.0,195138.0
9966,Bosnia and Herzegovina,12/31/2020,191723,110985.0,4050.0,77225.0
37998,Israel,12/31/2020,191778,423262.0,3325.0,376322.0
31154,Guatemala,12/31/2020,191765,138012.0,4813.0,126028.0
68682,Saudi Arabia,12/31/2020,191837,362741.0,6223.0,353853.0
79388,Timor-Leste,12/31/2020,191859,44.0,0.0,32.0
71847,Slovenia,12/31/2020,191844,122152.0,2697.0,99382.0
19831,Cyprus,12/31/2020,191741,22019.0,119.0,2057.0
26085,Ethiopia,12/31/2020,191755,124264.0,1923.0,112096.0
77614,Taiwan,12/31/2020,191855,799.0,7.0,671.0
17142,Comoros,12/31/2020,191735,823.0,10.0,705.0
73462,South Korea,12/31/2020,191848,61769.0,917.0,42953.0
64191,Qatar,12/31/2020,191828,143834.0,245.0,141422.0
14422,Cameroon,12/31/2020,191732,26277.0,448.0,24892.0
85984,West Bank and Gaza,12/31/2020,191871,138004.0,1400.0,117183.0
33362,Holy See,12/31/2020,191770,27.0,0.0,15.0
81662,UK,12/31/2020,3074188,2496235.0,73622.0,5482.0
5024,Azerbaijan,12/31/2020,191713,218700.0,2641.0,184422.0
62336,Peru,12/31/2020,4995387,1015137.0,37680.0,951318.0
42146,Kosovo,12/31/2020,191785,51144.0,1332.0,40989.0
23866,El Salvador,12/31/2020,191750,46242.0,1327.0,45960.0
74366,Spain,12/31/2020,3840970,1928265.0,50837.0,150376.0
12622,Burma,12/31/2020,191728,124630.0,2682.0,107069.0
50660,Mali,12/31/2020,191802,7090.0,269.0,4650.0
82156,US,12/31/2020,11146781,20099363.0,352163.0,0.0
4109,Australia,12/31/2020,1538281,28425.0,909.0,22565.0
46101,Liechtenstein,12/31/2020,191794,2136.0,39.0,1810.0
34301,Hong Kong,12/31/2020,192067,8846.0,148.0,7813.0
52682,Mexico,12/31/2020,6341902,1426094.0,125807.0,1074795.0
73882,South Sudan,12/31/2020,191849,3558.0,63.0,3131.0
52218,Mauritius,12/31/2020,191806,527.0,10.0,496.0
8180,Belize,12/31/2020,191719,10776.0,248.0,9795.0
18478,Costa Rica,12/31/2020,191738,169321.0,2185.0,131923.0
60046,Oman,12/31/2020,191821,128867.0,1499.0,121890.0
54161,Mongolia,12/31/2020,191809,1220.0,1.0,837.0
22047,Dominica,12/31/2020,191746,88.0,0.0,83.0
57773,Nicaragua,12/31/2020,191816,6046.0,165.0,4225.0
1369,Algeria,12/31/2020,191706,99610.0,2756.0,67127.0
2702,Antigua and Barbuda,12/31/2020,191709,159.0,5.0,148.0
27508,France,12/31/2020,2113710,2677666.0,64759.0,200142.0
32916,Haiti,12/31/2020,191769,9999.0,236.0,8624.0
55488,Mozambique,12/31/2020,191812,18642.0,166.0,16663.0
31605,Guinea,12/31/2020,191766,13722.0,81.0,13141.0
34753,Hungary,12/31/2020,191772,322514.0,9537.0,150102.0
13483,Cabo Verde,12/31/2020,191730,11840.0,113.0,11559.0
67809,San Marino,12/31/2020,191835,2428.0,59.0,2042.0
18028,Congo (Kinshasa),12/31/2020,191737,17658.0,591.0,14701.0
39374,Jamaica,12/31/2020,191780,12827.0,302.0,10383.0
65595,Rwanda,12/31/2020,191830,8383.0,92.0,6542.0
51323,Marshall Islands,12/31/2020,191804,4.0,0.0,4.0
72517,Somalia,12/31/2020,191846,4714.0,130.0,3612.0
78009,Tajikistan,12/31/2020,191856,13296.0,90.0,12851.0
21613,Djibouti,12/31/2020,191745,5831.0,61.0,5728.0
76686,Switzerland,12/31/2020,191853,452296.0,7645.0,317600.0
43931,Latvia,12/31/2020,191789,40904.0,635.0,27113.0
36616,Iran,12/31/2020,191775,1225142.0,55223.0,988833.0
